fecha,medida
2014-01-01,57.75
2014-01-02,75.75
2014-01-03,82.75
2014-01-04,57.25
2014-01-05,67.0
2014-01-06,87.5
2014-01-07,107.25
2014-01-08,135.75
2014-01-09,188.0
2014-01-10,162.75
2014-01-11,151.75
2014-01-12,112.0
2014-01-13,92.25
2014-01-14,74.0
2014-01-15,103.75
2014-01-16,84.75
2014-01-17,82.0
2014-01-18,80.75
2014-01-19,72.0
2014-01-20,92.0
2014-01-21,129.25
2014-01-22,103.75
2014-01-23,135.75
2014-01-24,163.75
2014-01-25,97.0
2014-01-26,103.25
2014-01-27,71.25
2014-01-28,88.5
2014-01-29,99.25
2014-01-30,84.25
2014-01-31,88.25
2014-02-01,50.5
2014-02-02,116.5
2014-02-03,110.5
2014-02-04,94.5
2014-02-05,74.75
2014-02-06,77.0
2014-02-07,85.5
2014-02-08,59.5
2014-02-09,87.25
2014-02-10,56.5
2014-02-11,88.0
2014-02-12,94.75
2014-02-13,91.75
2014-02-14,66.0
2014-02-15,83.0
2014-02-16,116.0
2014-02-17,116.25
2014-02-18,99.0
2014-02-19,162.75
2014-02-20,117.25
2014-02-21,83.0
2014-02-22,79.25
2014-02-23,138.5
2014-02-24,98.0
2014-02-25,75.75
2014-02-26,85.75
2014-02-27,98.5
2014-02-28,79.5
2014-03-01,44.5
2014-03-02,46.0
2014-03-03,78.0
2014-03-04,63.25
2014-03-05,119.0
2014-03-06,132.5
2014-03-07,172.0
2014-03-08,163.5
2014-03-09,113.0
2014-03-10,150.5
2014-03-11,168.25
2014-03-12,131.25
2014-03-13,119.75
2014-03-14,126.25
2014-03-15,158.0
2014-03-16,128.0
2014-03-17,159.25
2014-03-18,149.0
2014-03-19,144.75
2014-03-20,135.0
2014-03-21,91.0
2014-03-22,51.5
2014-03-23,78.25
2014-03-24,104.75
2014-03-25,61.5
2014-03-26,74.5
2014-03-27,113.25
2014-03-28,116.5
2014-03-29,77.25
2014-03-30,79.0
2014-03-31,114.75
2014-04-01,91.5
2014-04-02,109.0
2014-04-03,90.5
2014-04-04,80.5
2014-04-05,82.5
2014-04-06,86.75
2014-04-07,96.0
2014-04-08,127.5
2014-04-09,139.75
2014-04-10,107.0
2014-04-11,122.5
2014-04-12,82.75
2014-04-13,107.25
2014-04-14,118.75
2014-04-15,84.0
2014-04-16,96.75
2014-04-17,79.25
2014-04-18,96.25
2014-04-19,101.25
2014-04-20,33.0
2014-04-21,73.5
2014-04-22,89.5
2014-04-23,69.5
2014-04-24,80.25
2014-04-25,78.5
2014-04-26,48.0
2014-04-27,49.75
2014-04-28,74.25
2014-04-29,102.25
2014-04-30,67.75
2014-05-01,62.25
2014-05-02,94.25
2014-05-03,46.0
2014-05-04,120.25
2014-05-05,169.25
2014-05-06,105.5
2014-05-07,132.25
2014-05-08,124.5
2014-05-09,113.75
2014-05-10,118.25
2014-05-11,84.5
2014-05-12,90.5
2014-05-13,43.25
2014-05-14,146.5
2014-05-15,113.75
2014-05-16,71.5
2014-05-17,125.0
2014-05-18,138.0
2014-05-19,77.0
2014-05-20,65.5
2014-05-21,70.25
2014-05-22,61.75
2014-05-23,75.75
2014-05-24,72.0
2014-05-25,67.0
2014-05-26,73.5
2014-05-27,70.5
2014-05-28,75.25
2014-05-29,71.75
2014-05-30,61.75
2014-05-31,43.0
2014-06-01,54.0
2014-06-02,72.75
2014-06-03,89.0
2014-06-04,72.5
2014-06-05,91.75
2014-06-06,93.75
2014-06-07,61.0
2014-06-08,71.75
2014-06-09,76.75
2014-06-10,79.75
2014-06-11,85.0
2014-06-12,112.75
2014-06-13,130.25
2014-06-14,100.5
2014-06-15,44.5
2014-06-16,54.5
2014-06-17,117.25
2014-06-18,124.75
2014-06-19,74.75
2014-06-20,77.75
2014-06-21,51.25
2014-06-22,69.5
2014-06-23,89.5
2014-06-24,70.5
2014-06-25,67.75
2014-06-26,94.25
2014-06-27,103.75
2014-06-28,80.0
2014-06-29,51.5
2014-06-30,68.0
2014-07-01,72.25
2014-07-02,70.0
2014-07-03,73.25
2014-07-04,77.0
2014-07-05,92.5
2014-07-06,80.25
2014-07-07,65.75
2014-07-08,83.75
2014-07-09,49.5
2014-07-10,65.75
2014-07-11,79.75
2014-07-12,74.5
2014-07-13,87.25
2014-07-14,123.75
2014-07-15,139.25
2014-07-16,214.75
2014-07-17,244.0
2014-07-18,186.25
2014-07-19,49.5
2014-07-20,44.75
2014-07-21,90.5
