"date_gen","date","var4571","var9886","var8446","var5201","var3497","var11758","var6383","var3485","var8470","var16165","var8518","var3494","var8434","var8422","var7286","var9982","var9636","var8398","var16150","var4545"
2015-07-01,2015-07-02,1536.03,212.7,55,1042.92666666667,5.73125,346.1,92266.2,6.925,39.3,7987.5,37.9,10.3,45.4,47.4,35,217.3,1.62767262734808,61.3,13500,2089.9825
2015-07-02,2015-07-03,1559.85,212.4,59.5,1136.18666666667,7.340625,316.2,92378.7,8.13333333333333,49.3,11725,63.9,9.5,43.4,59.5,40,211.4,1.55102605335366,72.5,19000,2096.67416666667
2015-07-03,2015-07-04,1572.43,212.6,53.3,916.513333333333,5.209375,310.3,92408.5,5.79166666666667,47.1,7012.5,45.2,7.9,47.4,53.3,37,209.7,1.68871028428278,54.6,11300,2099.94666666667
2015-07-04,2015-07-05,1553.66,212.9,49.7,952.1,5.24375,321.9,92323.7,6.86666666666667,42.1,9000,35.3,8.5,34.7,49.7,37,210.1,1.45716619962628,48.8,12800,2093.4975
2015-07-05,2015-07-06,1559.65,212,39.6,1147.2,4.6125,308.4,92270.4,6.20833333333333,32.5,8750.025,27.6,7.4,32.1,39.6,30,210.4,1.27383339379667,51.9,22000,2094.52916666667
2015-07-06,2015-07-07,1548.28,212.8,33.1,1192.34666666667,5.9875,321.2,92195.2,7.875,31.1,10750,28.1,8.9,28,33.1,30,209.1,1.45443418134985,37.2,26000,2079.46333333333
2015-07-07,2015-07-08,1541.3,212.1,30.3,905.593333333333,4.040625,309,92153.4,5.45833333333333,26.9,6250,25.5,6.4,22.5,26,20,208,1.41410642092346,36.9,9000,2074.97833333333
2015-07-08,2015-07-09,1540.02,212.1,31.5,800.12,5.309375,304.7,92151.4,5.11666666666667,38.1,6875,41.9,12.1,31.5,24.5,23,208.6,1.13764775930092,39.5,4000,2079.47583333333
2015-07-09,2015-07-10,1545.37,212,34.2,967.62,5.5125,308.5,92303.1,7.2,23.3,8375,24.9,10,34.2,28.1,20,209.6,1.19848389074014,39.6,19000,2086.005
2015-07-10,2015-07-11,1558.58,212.1,35.7,904.266666666667,3.496875,307.4,92416.4,3.79166666666667,35.9,3587.5,39.7,7.6,32,35.7,30,210.6,0.949122401660253,38.4,6000,2093.6375
2015-07-11,2015-07-12,1561.86,211.7,33.8,947.033333333333,4.190625,304.5,92411.4,4.6,29.6,5575,29.6,8.2,25.3,33.8,20,212.1,0.917960519386046,42.1,12000,2098.97833333333
2015-07-12,2015-07-13,1566.27,211,28.6,845.606666666667,3.725,310.6,92396.8,3.125,29.8,3125,25.6,5.1,25.1,28.6,21,212.2,0.898610037780571,33.7,5000,2099.04916666667
2015-07-13,2015-07-14,1563.74,211.8,25.6,820.5,3.803125,310.7,92295.1,2.85,28.7,3125,26,4.3,25.6,19,19,214.3,1.10244219253383,38,5000,2091.4825
2015-07-14,2015-07-15,1548.91,212.2,29.8,814.846666666667,3.296875,305.3,92071.8,3.125,31.7,4500,25.4,4.6,29.4,29.8,20,216.8,1.00483678759138,39.5,7000,2074.51083333333
2015-07-15,2015-07-16,1534.26,212.5,37.7,804.58,4.578125,306.9,92051.7,6.125,33.2,6500,27.7,9.6,37.7,35.9,30,217.4,1.07266306947059,46.8,10000,2069.89416666667
2015-07-16,2015-07-17,1542.56,212.3,44.9,982.7,4.09375,302.2,92173.5,5.19166666666667,35.3,7625,28.6,6.8,38.5,44.9,34,218.2,1.23959304172415,55,15000,2076.3525
2015-07-17,2015-07-18,1542.8,213,67.9,1207.34666666667,4.875,321.6,92285.9,6.45833333333333,57.7,9375,52,10,59,67.9,55,219.4,1.22956015786873,84.1,25000,2073.61833333333
2015-07-18,2015-07-19,1537.6,212.4,62.4,1030.43333333333,4.959375,310,92209.4,5.58333333333333,47.6,7375,53.1,10.7,55.8,62.4,40,218.8,0.854754971091748,73.7,12000,2068.65
2015-07-19,2015-07-20,1535.02,211.6,64.7,1037.36,3.4,307.7,92128.6,3.925,55.1,4875,47.6,6.6,55,64.7,50,217.1,0.941307923083938,72,7000,2067.65
2015-07-20,2015-07-21,1534.4,210.6,56.7,1250.1,4.41875,296.6,92097.9,5.56666666666667,46.4,9675,44.1,7.1,52.8,56.7,41,217.9,1.23239112248827,67,18000,2064.95666666667
2015-07-21,2015-07-22,1530.21,209.6,69.2,1258.28,4.115625,304.3,92184.9,5.16666666666667,58.3,5200,53.5,9.1,58.6,69.2,51,218.9,1.24398553046247,77.5,9000,2068.33333333333
2015-07-22,2015-07-23,1542.89,211.1,60.9,1036.36666666667,5.86875,307.7,91926.3,5.81666666666667,51.1,7500,62.7,11.9,45.7,60.9,50,219.8,0.975456381144314,65.6,7000,2050.14333333333
2015-07-23,2015-07-24,1506.95,213.9,70.9,1042.02666666667,5.840625,304.6,91828.2,7.075,37.4,8000.025,38.6,8.2,70.9,46.4,52,219.8,1.4813998293997,81.3,18000,2028.1975
2015-07-24,2015-07-25,1508.79,213.2,64.8,999.266666666667,4.784375,304.2,92060.1,2.175,64,3250,70.7,10,55.7,61,50,215.4,0.848885186939947,55.7,7000,2057.31833333333
2015-07-25,2015-07-26,1537.03,210.3,68.9,973.62,4.99375,296.7,92006.9,5.16666666666667,57.6,5437.5,58.9,7.3,54.1,68.9,43,211.1,0.780588356189216,66.4,9000,2060.42416666667
2015-07-26,2015-07-27,1518.85,208.2,50.7,899.273333333333,4.1375,291.6,91934.4,5.24166666666667,49.9,5750,50.3,5.6,49.8,50.7,40,210.8,0.996204919895632,58.4,9000,2053.24166666667
2015-07-27,2015-07-28,1520.7,208.8,44.5,823.426666666667,5.2,288.6,91796.7,8.41666666666667,39,8587.5,36.1,10.2,41.5,44.5,30,216,1.21568038064237,42.7,9900,2044.98333333333
2015-07-28,2015-07-29,1513.67,210.3,45,1025.67333333333,5.39375,295.4,91764.7,7.40833333333333,46.8,8650,39.4,9.9,45,44.2,30,216.5,1.31388274925424,47.6,16000,2032.64583333333
2015-07-29,2015-07-30,1491.49,212.3,75.3,1027.18,5.553125,300.2,91616.7,6.18333333333333,59.1,6700,62.6,7.6,62.6,75.3,50,218.3,1.2814232144555,77.6,9000,2009.6625
2015-07-30,2015-07-31,1472.53,216.9,94.9,1102.26666666667,5.990625,348.3,91551.1,8.28333333333333,82,9300,83,8.6,79.1,94.9,72,221.8,0.815893263963988,99.6,22400,1992.10583333333
2015-07-31,2015-08-01,1483.44,216.7,78.2,1031.34,2.9285675,345.9,91796.8,3.39166666666667,67,2250,63.2,4,58,78.2,56,219.6,1.04750786501712,91.6,4000,2036.85333333333
2015-08-01,2015-08-02,1521.94,212.8,49.1,1083.84,6.41875,297.8,92144.7,5.85833333333333,57,7662.5,96.3,11.1,40.6,46.4,46,213.4,1.41964037272782,38.9,12000,2071.20416666667
2015-08-02,2015-08-03,1540.01,211,71.7,961.093333333333,5.84375,294,92062.3,8.14166666666667,43.6,9500,36.3,12.1,71.7,51,56,213.9,2.02050098797904,74.2,20000,2063.77333333333
2015-08-03,2015-08-04,1530.06,211.2,94.5,1002.92666666667,4.221875,305.3,92104.2,5.18333333333333,72.5,5500,69.3,6.4,58,61.9,74,213,1.0031390126936,80.4,8000,2063.1825
2015-08-04,2015-08-05,1525.3,210.2,38.4,911.586666666667,4.909375,298.5,92030.3,6.925,38.4,7250,31.4,7.6,35.1,33.7,28,210.7,1.46935875521097,43,15000,2059.91
2015-08-05,2015-08-06,1523.73,210.5,39.5,838.093333333333,5.2,294,92040.3,7.45833333333333,34.6,7000,19.7,8.4,24.6,34.1,19,211.9,1.64813944688053,32.8,16000,2061.87666666667
2015-08-06,2015-08-07,1523.08,211.4,38.9,832.28,4.93188125,294,92118.6,6.81666666666667,26.8,5875,23,7.7,29.8,25,23,213.2,1.29719978134722,43,15000,2073.09083333333
2015-08-07,2015-08-08,1536.89,213,51.8,682.013333333333,3.9875,313.9,92268.2,5.83333333333333,46.4,3750,37.1,4.6,47.5,51.8,37,216.2,1.09986225032818,60,3000,2081.30583333333
2015-08-08,2015-08-09,1553.09,212.4,71,774.506666666667,5.21875,310.6,92263,4.025,55.9,4375,45.2,12.6,60.7,71,50,212,0.962792655232524,67.9,4000,2076.91166666667
2015-08-09,2015-08-10,1548.78,211.2,66.5,613.94,4.8375,308.3,92060.4,5.74166666666667,49.6,5987.5,45.3,7.3,66.5,60.4,51,212.4,1.31587049192356,83,6500,2060.53916666667
2015-08-10,2015-08-11,1515.55,212.4,67.9,1106.76,5.165625,313.1,91943.6,7.025,55.8,8625,51.8,8.8,62.6,67.9,51,211.2,1.24815014636813,83.4,19000,2047.04166666667
2015-08-11,2015-08-12,1532.44,213.1,56.7,963.853333333333,5.428125,308,92270,7.45,37,7287.5,36.3,8.7,56.7,41.6,45,214.8,2.72624728196549,69.9,15400,2070.99416666667
2015-08-12,2015-08-13,1537.04,215.6,86.8,1055.93333333333,6.771875,328.9,92341.3,7.29166666666667,43.5,8075,72.3,10.1,86.8,47.4,61,217.4,1.75315732495991,91.2,16000,2052.21416666667
2015-08-13,2015-08-14,1520.78,216.4,84.2,975.086666666667,3.978125,327.5,92103,4.45833333333333,78.1,3862.5,68,5.9,62.3,84.2,62,218.2,0.880555953860279,77.5,7500,2033.90666666667
2015-08-14,2015-08-15,1504.51,214.8,77.9,1110.34666666667,5.075,324.1,92021,5.65,64.1,5637.5,59.1,9,68.6,77.9,60,218.3,1.13414632159519,95.3,9000,2022.81666666667
2015-08-15,2015-08-16,1503.65,213.5,81,942.093333333333,5.059375,315.6,91857.8,5.45833333333333,64.5,6512.5,61.3,7.7,81,80.6,61,214.8,1.28133453157954,97.8,12000,2019.30333333333
2015-08-16,2015-08-17,1498.78,213.8,97.2,1046.27333333333,4.3125,317,91767.3,5.025,82.1,6125,73.9,7.3,88.2,97,75,216.9,1.1065918193017,99.2,9000,2014.24666666667
2015-08-17,2015-08-18,1489.93,214.2,76.5,1006.18,4.20625,325.5,91891.3,3.78333333333333,65,2000,60.7,7.3,59,76.5,59,216.7,0.9100449539346,94.9,4000,2028.915
2015-08-18,2015-08-19,1518.32,214.5,71.3,957.373333333333,5.44375,306.6,92296.7,2.59166666666667,77.4,4375,98.6,13,71.3,54.2,58,213.5,1.26380258335587,85.5,6000,2069.30166666667
2015-08-19,2015-08-20,1557.89,212.6,67.2,891.186666666667,3.934375,306.6,92484.9,2.61666666666667,59.9,2500,56.2,5.5,52.6,55.2,45,213.6,0.941428637119076,85.4,4000,2095.215
2015-08-20,2015-08-21,1567.37,212.2,61.1,1077.25333333333,4.60625,303.6,92309.6,4.475,52.1,3750,43.6,4.5,53.5,61.1,44,214.9,1.1413375991141,75.6,16000,2081.04666666667
2015-08-21,2015-08-22,1534.13,215.3,89.4,1238.92666666667,6.7375,304.4,91752.5,10.1916666666667,70.5,13250,57.1,13.4,56.3,89.4,58,217.6,1.64120705764405,87,26000,2015.90583333333
2015-08-22,2015-08-23,1475.22,216.7,76.4,1105.92666666667,8.971875,313.8,91671.6,10.8416666666667,83.6,13375,85.8,13.1,76.4,63.1,65,216.7,1.32218826881114,82.4,18000,1989.53666666667
2015-08-23,2015-08-24,1473.47,215.6,98,1203.68,6.540625,316.4,91826.3,3.51666666666667,98.8,7512.5,99,15.8,67.7,88.3,84,214.3,0.804909179894715,99,12000,2034.87166666667
2015-08-24,2015-08-25,1536.65,213.8,61.1,712.026666666667,2.25625,313.1,92441.9,2.2,49.5,625,42.6,4.2,45.3,41.5,43,210.6,1.05869416421049,45.8,4000,2068.60333333333
2015-08-25,2015-08-26,1534.36,212.5,52.1,886.26,5.25,304.2,92160.2,5.61666666666667,50,5625.0094548,47.5,7,45.7,52.1,39,214.4,1.27979638532026,57.1,12000,2055.40833333333
2015-08-26,2015-08-27,1529.65,212,51.6,891.586666666667,4.6625,292,92180.4,5.56666666666667,45.4,5625,40.2,7,45,51.6,41,209.2,1.39357290966259,51.1,17000,2060.42083333333
2015-08-27,2015-08-28,1537.17,211.7,47.8,692.013333333333,2.85,291.7,92258.2,3.725,46.9,2125,39.7,4.6,47.8,45.8,41,209.2,1.35117793727615,52.4,7000,2069.69333333333
2015-08-28,2015-08-29,1543.58,212.3,58.7,749.02,6.99375,297.2,92201.2,8.23333333333333,44.7,6875,40.4,15,45.8,54.1,41,214,1.39683082856743,69.2,6000,2072.34
2015-08-29,2015-08-30,1537.07,212.9,60.9,798.86,6.671875,297.7,92115.6,5.53333333333333,51.8,6875,56.4,13.6,60.9,55.6,50,215.6,1.67248227784242,71.3,11000,2066.13583333333
2015-08-30,2015-08-31,1526.34,213.1,81.3,955.026666666667,5.484375,306.3,92176.7,6.21666666666667,68.3,6250,71.6,7.8,75,81.3,62,218.3,1.67953366543613,79.1,19000,2049.9575
